180752946,82,18032063,Medical Incident,03/16/2018,03/16/2018,Code 2 Transport,03/16/2018 06:44:01 PM,1800 Block of THE EMBARCADERO,San Francisco,94133,B01,28,0935,C,3,3,true,Potentially Life-Threatening,1,MEDIC,2,1,3,North Beach,"(37.808835405100716, -122.41410878378372)",180752946-82,0.38333333
180753210,T14,18032081,Other,03/16/2018,03/16/2018,Fire,03/16/2018 06:26:05 PM,11TH AV/ANZA ST,San Francisco,94118,B07,31,7142,3,3,3,false,Alarm,1,TRUCK,1,7,1,Inner Richmond,"(37.77884909308388, -122.46949469851245)",180753210-T14,3.25
180753211,63,18032082,Medical Incident,03/16/2018,03/16/2018,Unable to Locate,03/16/2018 06:24:30 PM,600 Block of THORNTON AVE,San Francisco,94124,B10,42,6447,3,3,3,true,Non Life-threatening,1,MEDIC,2,10,10,Bayview Hunters Point,"(37.73142054404125, -122.40073402572445)",180753211-63,5.0666666
180753233,53,18032084,Medical Incident,03/16/2018,03/16/2018,Code 2 Transport,03/16/2018 07:28:17 PM,19TH ST/FOLSOM ST,San Francisco,94110,B06,07,5432,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,6,9,Mission,"(37.760498873247194, -122.41484189178112)",180753233-53,2.9333334
180753245,AM108,18032085,Medical Incident,03/16/2018,03/16/2018,Code 2 Transport,03/16/2018 07:41:16 PM,2700 Block of ULLOA ST,San Francisco,94116,B08,40,7466,3,2,2,false,Potentially Life-Threatening,1,PRIVATE,2,8,4,Sunset/Parkside,"(37.74078922594928, -122.48574589739954)",180753245-AM108,3.3333333
180753530,AM112,18032110,Medical Incident,03/16/2018,03/16/2018,Code 2 Transport,03/16/2018 08:40:37 PM,1200 Block of HOWARD ST,San Francisco,94103,B02,01,2335,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,2,6,South of Market,"(37.77564546719173, -122.41243245791196)",180753530-AM112,1.9
180753552,B02,18032117,Alarms,03/16/2018,03/16/2018,Fire,03/16/2018 07:48:13 PM,600 Block of POLK ST,San Francisco,94102,B02,03,3114,3,3,3,false,Alarm,1,CHIEF,3,2,6,Tenderloin,"(37.78264403568836, -122.41901915724246)",180753552-B02,2.85
180753673,E01,18032127,Citizen Assist / Service Call,03/16/2018,03/16/2018,Fire,03/16/2018 08:26:53 PM,4TH ST/FOLSOM ST,San Francisco,94107,B03,01,2215,3,3,3,true,Alarm,1,ENGINE,1,3,6,South of Market,"(37.78202426623581, -122.40115971950917)",180753673-E01,3.7166667
180753765,T02,18032134,Alarms,03/16/2018,03/16/2018,Fire,03/16/2018 08:55:12 PM,600 Block of CHESTNUT ST,San Francisco,94133,B01,28,1424,3,3,3,false,Alarm,1,TRUCK,3,1,3,North Beach,"(37.80370599286035, -122.41406118105098)",180753765-T02,3.4
180753940,E36,18032159,Medical Incident,03/16/2018,03/16/2018,Code 2 Transport,03/16/2018 09:54:27 PM,700 Block of GOLDEN GATE AVE,San Francisco,94102,B02,05,0326,3,3,3,false,Potentially Life-Threatening,1,ENGINE,2,2,5,Western Addition,"(37.780662104249124, -122.42289792441836)",180753940-E36,2.1166666
180753946,E38,18032160,Alarms,03/16/2018,03/16/2018,Fire,03/16/2018 10:04:02 PM,2000 Block of CALIFORNIA ST,San Francisco,94109,B04,38,3362,3,3,3,true,Alarm,1,ENGINE,4,4,5,Pacific Heights,"(37.78958406793625, -122.42807191245869)",180753946-E38,6.05
180754009,75,18032171,Medical Incident,03/16/2018,03/16/2018,Code 2 Transport,03/16/2018 10:54:13 PM,NORTH POINT ST/VAN NESS AV,San Francisco,94109,B04,28,3143,2,3,3,true,Potentially Life-Threatening,1,MEDIC,4,1,2,Russian Hill,"(37.805077901858944, -122.42529856511551)",180754009-75,10.166667
180754016,B01,18032175,Alarms,03/16/2018,03/16/2018,Fire,03/16/2018 10:23:58 PM,2100 Block of LARKIN ST,San Francisco,94109,B01,41,1631,3,3,3,false,Alarm,1,CHIEF,2,4,3,Russian Hill,"(37.79756258254444, -122.42047745322994)",180754016-B01,6.45
